"Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status"
"1,1,0,1,1,6000,2250,265,360,1,1,0"
"1,1,0,1,1,2958,2900,131,360,1,1,1"
"1,1,2,1,1,6250,1695,210,360,1,1,1"
"1,1,0,1,1,2083,3150,128,360,1,1,1"
"1,2,0,1,1,4166,0,98,360,0,1,0"
"1,1,0,1,1,19730,5266,570,360,1,3,0"
"1,1,3,2,2,3333,2166,130,360,1,1,1"
"1,1,2,2,1,3365,1917,112,360,0,3,0"
"2,1,0,1,1,3625,0,108,360,1,1,1"
"1,2,0,1,1,9508,0,187,360,1,3,1"
"1,1,1,2,1,5285,1430,161,360,0,1,1"
"1,1,2,2,1,6125,1625,187,480,1,1,0"
"1,1,0,1,1,2920,16,87,360,1,3,1"
"1,1,0,1,1,3707,3166,182,360,1,3,1"
"1,1,0,1,1,6256,0,160,360,1,2,1"
"1,1,2,1,2,17500,0,400,360,1,3,1"
"1,1,1,1,1,12841,10968,349,360,1,1,0"
"1,1,0,1,1,4750,2333,130,360,1,2,1"
"1,1,2,1,2,4583,2083,160,360,1,1,1"
"2,2,1,2,1,4606,0,81,360,1,3,0"
"2,2,3,1,1,416,41667,350,180,1,2,0"
"1,2,0,1,2,7167,0,128,360,1,2,1"
"1,1,1,1,1,3988,0,50,240,1,2,1"
"1,2,0,1,1,4095,3447,151,360,1,3,1"
"1,2,0,1,2,11000,0,83,360,1,2,0"
"1,1,0,1,2,9963,0,180,360,1,3,1"
"1,2,0,2,1,2550,2042,126,360,1,3,1"
"2,1,2,2,1,210,2917,98,360,1,1,1"
"2,1,0,1,1,3166,0,36,360,1,1,1"
"1,1,2,1,1,4400,0,127,360,0,1,0"
"1,2,0,1,1,3750,0,113,480,1,2,0"
"1,1,2,2,1,3273,1820,81,360,1,2,1"
"1,2,0,1,1,4000,2500,140,360,1,3,1"
"1,1,3,2,2,7100,0,125,60,1,2,1"
"1,2,0,1,1,4950,0,125,360,1,2,1"
"1,1,3,1,1,3430,1250,128,360,0,1,0"
"2,2,0,1,1,3418,0,135,360,1,3,0"
"1,2,0,1,1,8566,0,210,360,1,2,1"
"1,2,0,1,1,5815,3666,311,360,1,3,0"
"1,1,1,1,1,2214,1398,85,360,1,2,1"
"1,1,2,1,1,3276,484,135,360,1,1,1"
"1,1,0,1,1,3246,1417,138,360,1,1,1"
"1,1,0,1,1,3500,1667,114,360,1,1,1"
"1,2,0,1,1,5849,0,128,360,1,2,1"
"1,1,2,2,1,3987,1411,157,360,1,3,1"
"1,1,3,1,1,5516,11300,495,360,0,1,0"
"1,1,2,1,1,8333,3167,165,360,1,3,1"
"2,2,0,1,1,1500,1800,103,360,0,1,0"
"1,2,0,1,1,6283,4416,209,360,0,3,0"
"1,1,3,2,1,4931,0,128,360,1,1,0"
"1,1,0,2,1,2600,1911,116,360,0,1,0"
"1,1,0,1,1,4301,0,118,360,1,2,1"
"2,1,0,1,1,3167,2283,154,360,1,1,1"
"1,1,0,1,1,5695,4167,175,360,1,1,1"
"1,1,1,1,1,1880,0,61,360,1,3,0"
"1,2,1,1,1,37719,0,152,360,1,1,1"
"1,1,0,2,1,4887,0,133,360,1,3,0"
"1,1,0,1,1,3333,2500,128,360,1,1,1"
"1,1,2,2,1,4652,0,110,360,1,3,1"
"1,1,2,1,1,11757,0,187,180,1,2,1"
"1,1,0,1,1,3075,2416,139,360,1,3,1"
